date,smp_max,smp_min,smp_mean,supply
2020-02-07,190.13356073845267,83.49483426841319,116.24975938484349,84.37
2020-02-08,163.49185642940816,81.36944903461884,111.7900289411898,84.11
2020-02-09,165.00775735192695,80.47006259701917,111.68472247248826,82.41
2020-02-10,178.1020798605219,84.36565317421986,113.44563124038396,83.3
2020-02-11,183.8643666607559,85.40022073184011,114.38479384924831,75.87
2020-02-12,176.28150231655417,85.72855631314057,107.80543250554369,77.11
2020-02-13,188.77786829690507,84.08602810887695,112.08577642757925,74.24
2020-02-14,192.49875907385115,85.86903904634696,113.73092368321662,73.26
2020-02-15,162.28006347938822,77.66110053533336,98.47523581115955,67.03
2020-02-16,151.67228281875722,79.0486805782169,95.84948170090074,83.08
2020-02-17,155.07559726581002,84.67207760526406,107.41350804368619,91.7
2020-02-18,187.5904150981991,85.02232812728882,115.53864372777821,89.34
2020-02-19,189.85087350600472,84.43803891773686,118.27653097960669,84.65
2020-02-20,190.32892400441307,81.69449884916757,117.70585246454743,83.48
2020-02-21,186.02259687251376,81.51394215472001,118.75634746079774,76.18
2020-02-22,173.74570222697403,79.12959388475159,110.61676562225216,78.85
2020-02-23,179.73514505159667,78.98954557555449,119.58245059850965,79.97
2020-02-24,168.42934488680154,84.86261217388014,108.68875448607776,74.34
2020-02-25,155.30049206782436,80.156907075737,100.95524025585229,71.42
2020-02-26,160.9235265274146,83.93105545055381,109.49509818189772,77.24
2020-02-27,169.07114151516754,82.24325268956656,110.54022791437615,77.31
2020-02-28,178.98370302609248,83.84582982734719,116.9572087880894,81.35
2020-02-29,162.9324010949295,83.60002756502668,109.99108903809524,73.92
2020-03-01,151.28574091413842,81.86655844234099,97.06986857559164,73.4
2020-03-02,157.42680615400735,81.10284440395212,104.81583006531335,82.43
2020-03-03,161.99882744427845,84.85365068593248,109.33364173323434,75.89
2020-03-04,153.67371088861387,83.93179649305185,105.0841818942803,83.86
2020-03-05,177.10498476839285,83.74128306264916,114.97760085457503,84.14
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-05-25,189.61007174868232,72.51575657698511,124.50331146093008,66.91663812611908
2020-05-26,190.42043677535258,73.00924437366224,126.27719359379482,66.76400050081416
2020-05-27,193.239702481724,71.61107192333687,125.03782945971425,65.60674349672881
2020-05-28,193.30801307428996,71.17574459273037,129.52046200904397,67.14666803267403
2020-05-29,187.4043056533239,71.01074395692133,124.74249530127972,68.40472459527174
2020-05-30,185.41181197517022,70.4662954230089,127.1294554951839,64.33821606811811
2020-05-31,180.63695889848807,70.93530059741484,123.33585767133181,64.8811611582934
2020-06-01,189.80897235472537,66.81854519657236,144.95850057830506,67.06220565203662
2020-06-02,193.8077427764268,65.93199814110505,145.02502066773474,66.66392973332599
2020-06-03,193.40913392203692,63.6431841961255,145.23143296600767,66.77351579719257
2020-06-04,200.88886927524874,63.88144252900172,143.83601025136642,67.20387705984024
2020-06-05,202.44810808966443,64.43340220652668,145.5756290396841,68.07657811493492
2020-06-06,193.3165192085257,63.55358324753396,144.6823294319599,66.62348563957941
2020-06-07,191.45305020935484,63.5844567879097,144.26606650117373,64.88564747025399
2020-06-08,203.40036305989832,66.93880399940892,147.08031960347304,66.00437024220982
2020-06-09,203.27582280975048,66.8191651832587,147.97710850189168,66.52896306308894
2020-06-10,198.93218887054684,64.99768873517485,149.15398843718893,65.10778343885347
2020-06-11,201.3251840316358,66.24122367094381,148.81004444451975,67.59325895760222
2020-06-12,204.9964582106041,67.1721181808509,153.90633983325364,65.15637749096354
2020-06-13,201.53536426860805,69.5344881257992,150.79621789989855,62.911707260074294
2020-06-14,195.66733954049107,69.85197587934343,153.557036100021,62.26047782800143
2020-06-15,200.9514025386909,72.24393338288968,159.2144889559405,68.77995578304619
2020-06-16,202.43982169711245,73.19851197373335,156.17627463546492,69.51086291424623
2020-06-17,201.36842551970958,70.18335773853543,157.3506331692717,68.78619875993519
2020-06-18,202.31820439373183,70.72231997827598,159.82622864657182,67.38135032570531
2020-06-19,201.56141235676782,70.05097720408278,158.38015665169303,66.43450963711915
2020-06-20,194.651225159752,69.9401355885904,155.66196442796164,64.18167903075937
2020-06-21,193.68407600256575,70.30239018403039,148.3141956554671,65.02098585300683
