iter	Passed	Remaining
0	1765	1763933
1	3467	1730384
2	5540	1841294
3	7551	1880213
4	9573	1905193
5	11634	1927384
6	13684	1941236
7	15739	1951670
8	15785	1738168
9	17790	1761227
10	19789	1779232
11	20045	1650444
12	22026	1672326
13	24063	1694766
14	26100	1713907
15	28144	1730909
16	30142	1742926
17	32154	1754220
18	34245	1768141
19	36190	1773341
20	38082	1775391
21	40054	1780595
22	42084	1787664
23	44114	1793971
24	46139	1799457
25	48168	1804478
26	50217	1809683
27	52244	1813636
28	54238	1816069
29	54498	1762104
30	56524	1766850
31	58477	1768950
32	60498	1772789
33	62518	1776256
34	64539	1779451
35	66543	1781877
36	68570	1784699
37	70605	1787434
38	72635	1789821
39	74679	1792300
40	76730	1794748
41	78684	1794746
42	80739	1796927
43	82770	1798380
44	84775	1799133
45	86810	1800381
46	88845	1801481
47	90873	1802325
48	92914	1803303
49	94927	1803629
50	96860	1802370
51	98814	1801462
52	100845	1801908
53	102910	1802835
54	104909	1802536
55	106748	1799466
56	108582	1796369
57	110416	1793312
58	112319	1791404
59	114286	1790489
60	116336	1790822
61	118328	1790194
62	120366	1790215
63	122460	1790983
64	124489	1790727
65	126501	1790188
66	128446	1788666
67	130496	1788570
68	132530	1788198
69	134546	1787552
70	136581	1787099
71	138518	1785349
72	140557	1784889
73	142575	1784123
74	144597	1783364
75	146633	1782757
76	148677	1782202
77	150690	1781242
78	152757	1780880
79	154750	1779635
80	156761	1778562
81	158632	1775911
82	160654	1774943
83	162674	1773921
84	164676	1772689
85	166615	1770771
86	168495	1768237
87	170389	1765856
88	172350	1764167
89	174215	1761509
90	176082	1758885
